trimestre,año,sst_total,anomalia,estado_enso
DJF,1988,27.34,0.81,El Niño
JFM,1988,27.29,0.54,El Niño
FMA,1988,27.27,0.14,Neutro
MAM,1988,27.15,-0.31,Neutro
AMJ,1988,26.69,-0.88,La Niña
MJJ,1988,26.08,-1.3,La Niña
JJA,1988,25.74,-1.3,La Niña
JAS,1988,25.65,-1.11,La Niña
ASO,1988,25.4,-1.19,La Niña
SON,1988,25.07,-1.48,La Niña
OND,1988,24.71,-1.8,La Niña
NDJ,1988,24.63,-1.85,La Niña
DJF,1989,24.84,-1.69,La Niña
JFM,1989,25.32,-1.43,La Niña
FMA,1989,26.04,-1.08,La Niña
MAM,1989,26.64,-0.83,La Niña
AMJ,1989,26.99,-0.58,La Niña
MJJ,1989,26.97,-0.4,Neutro
JJA,1989,26.73,-0.31,Neutro
JAS,1989,26.48,-0.27,Neutro
ASO,1989,26.35,-0.24,Neutro
SON,1989,26.33,-0.22,Neutro
OND,1989,26.34,-0.16,Neutro
NDJ,1989,26.43,-0.05,Neutro
DJF,1990,26.67,0.14,Neutro
JFM,1990,26.96,0.21,Neutro
FMA,1990,27.41,0.28,Neutro
MAM,1990,27.75,0.29,Neutro
AMJ,1990,27.86,0.29,Neutro
MJJ,1990,27.68,0.31,Neutro
JJA,1990,27.37,0.33,Neutro
JAS,1990,27.13,0.38,Neutro
ASO,1990,26.98,0.39,Neutro
SON,1990,26.89,0.35,Neutro
OND,1990,26.9,0.4,Neutro
NDJ,1990,26.94,0.41,Neutro
DJF,1991,27.02,0.41,Neutro
JFM,1991,27.15,0.26,Neutro
FMA,1991,27.48,0.22,Neutro
MAM,1991,27.85,0.26,Neutro
AMJ,1991,28.16,0.45,Neutro
MJJ,1991,28.17,0.64,El Niño
JJA,1991,27.94,0.73,El Niño
JAS,1991,27.57,0.64,El Niño
ASO,1991,27.41,0.62,El Niño
SON,1991,27.54,0.79,El Niño
OND,1991,27.91,1.21,El Niño
NDJ,1991,28.18,1.53,El Niño
DJF,1992,28.39,1.71,El Niño
JFM,1992,28.52,1.63,El Niño
FMA,1992,28.73,1.48,El Niño
MAM,1992,28.88,1.29,El Niño
AMJ,1992,28.76,1.06,El Niño
MJJ,1992,28.26,0.73,El Niño
JJA,1992,27.57,0.37,Neutro
JAS,1992,27.03,0.09,Neutro
ASO,1992,26.66,-0.13,Neutro
SON,1992,26.5,-0.25,Neutro
OND,1992,26.43,-0.28,Neutro
NDJ,1992,26.52,-0.13,Neutro
DJF,1993,26.77,0.09,Neutro
JFM,1993,27.18,0.3,Neutro
FMA,1993,27.75,0.5,El Niño
MAM,1993,28.27,0.67,El Niño
AMJ,1993,28.4,0.7,El Niño
MJJ,1993,28.1,0.57,El Niño
JJA,1993,27.53,0.32,Neutro
JAS,1993,27.19,0.25,Neutro
ASO,1993,26.94,0.15,Neutro
SON,1993,26.85,0.1,Neutro
OND,1993,26.75,0.04,Neutro
NDJ,1993,26.71,0.06,Neutro
DJF,1994,26.74,0.06,Neutro
JFM,1994,26.95,0.07,Neutro
FMA,1994,27.43,0.17,Neutro
MAM,1994,27.9,0.31,Neutro
AMJ,1994,28.12,0.42,Neutro
MJJ,1994,27.94,0.41,Neutro
JJA,1994,27.65,0.44,Neutro
JAS,1994,27.37,0.43,Neutro
ASO,1994,27.35,0.55,El Niño
SON,1994,27.49,0.74,El Niño
OND,1994,27.71,1.01,El Niño
NDJ,1994,27.74,1.09,El Niño
DJF,1995,27.64,0.96,El Niño
JFM,1995,27.61,0.72,El Niño
FMA,1995,27.79,0.53,El Niño
MAM,1995,27.9,0.3,Neutro
AMJ,1995,27.84,0.14,Neutro
MJJ,1995,27.5,-0.03,Neutro
JJA,1995,26.97,-0.24,Neutro
JAS,1995,26.4,-0.54,La Niña
ASO,1995,25.99,-0.81,La Niña
SON,1995,25.78,-0.97,La Niña
OND,1995,25.7,-1.0,La Niña
NDJ,1995,25.66,-0.98,La Niña
DJF,1996,25.76,-0.9,La Niña
JFM,1996,26.1,-0.75,La Niña
FMA,1996,26.65,-0.59,La Niña
MAM,1996,27.2,-0.39,Neutro
AMJ,1996,27.4,-0.31,Neutro
MJJ,1996,27.23,-0.3,Neutro
JJA,1996,26.93,-0.27,Neutro
JAS,1996,26.59,-0.32,Neutro
ASO,1996,26.39,-0.35,Neutro
SON,1996,26.28,-0.4,Neutro
OND,1996,26.17,-0.45,Neutro
NDJ,1996,26.09,-0.49,Neutro
DJF,1997,26.12,-0.5,La Niña
JFM,1997,26.49,-0.36,Neutro
FMA,1997,27.14,-0.1,Neutro
MAM,1997,27.87,0.28,Neutro
AMJ,1997,28.46,0.75,El Niño
MJJ,1997,28.75,1.22,El Niño
JJA,1997,28.8,1.6,El Niño
JAS,1997,28.81,1.9,El Niño
ASO,1997,28.88,2.14,El Niño
SON,1997,29.01,2.33,El Niño
OND,1997,29.02,2.4,El Niño
NDJ,1997,28.97,2.39,El Niño
DJF,1998,28.87,2.24,El Niño
JFM,1998,28.78,1.93,El Niño
FMA,1998,28.68,1.44,El Niño
MAM,1998,28.59,0.99,El Niño
AMJ,1998,28.16,0.45,Neutro
MJJ,1998,27.39,-0.13,Neutro
JJA,1998,26.42,-0.78,La Niña
JAS,1998,25.79,-1.12,La Niña
ASO,1998,25.44,-1.31,La Niña
SON,1998,25.32,-1.35,La Niña
OND,1998,25.14,-1.48,La Niña
NDJ,1998,25.01,-1.57,La Niña
DJF,1999,25.08,-1.55,La Niña
JFM,1999,25.55,-1.3,La Niña
FMA,1999,26.17,-1.07,La Niña
MAM,1999,26.62,-0.98,La Niña
AMJ,1999,26.68,-1.02,La Niña
MJJ,1999,26.49,-1.04,La Niña
JJA,1999,26.1,-1.1,La Niña
JAS,1999,25.8,-1.11,La Niña
ASO,1999,25.58,-1.16,La Niña
SON,1999,25.41,-1.26,La Niña
OND,1999,25.16,-1.46,La Niña
NDJ,1999,24.93,-1.65,La Niña
DJF,2000,24.96,-1.66,La Niña
JFM,2000,25.44,-1.41,La Niña
FMA,2000,26.17,-1.07,La Niña
MAM,2000,26.78,-0.81,La Niña
AMJ,2000,27.0,-0.71,La Niña
MJJ,2000,26.88,-0.64,La Niña
JJA,2000,26.65,-0.55,La Niña
JAS,2000,26.4,-0.51,La Niña
ASO,2000,26.2,-0.55,La Niña
SON,2000,26.05,-0.63,La Niña
OND,2000,25.88,-0.75,La Niña
NDJ,2000,25.81,-0.74,La Niña
DJF,2001,25.88,-0.68,La Niña
JFM,2001,26.26,-0.52,La Niña
FMA,2001,26.76,-0.44,Neutro
MAM,2001,27.25,-0.34,Neutro
AMJ,2001,27.49,-0.25,Neutro
MJJ,2001,27.47,-0.12,Neutro
JJA,2001,27.2,-0.08,Neutro
JAS,2001,26.86,-0.13,Neutro
ASO,2001,26.63,-0.19,Neutro
SON,2001,26.48,-0.29,Neutro
OND,2001,26.37,-0.35,Neutro
NDJ,2001,26.31,-0.31,Neutro
DJF,2002,26.44,-0.15,Neutro
JFM,2002,26.81,0.03,Neutro
FMA,2002,27.29,0.09,Neutro
MAM,2002,27.8,0.2,Neutro
AMJ,2002,28.18,0.43,Neutro
MJJ,2002,28.24,0.65,El Niño
JJA,2002,28.06,0.79,El Niño
JAS,2002,27.85,0.86,El Niño
ASO,2002,27.83,1.01,El Niño
SON,2002,27.97,1.21,El Niño
OND,2002,28.03,1.31,El Niño
NDJ,2002,27.76,1.14,El Niño
DJF,2003,27.51,0.92,El Niño
JFM,2003,27.41,0.63,El Niño
FMA,2003,27.58,0.38,Neutro
MAM,2003,27.56,-0.04,Neutro
AMJ,2003,27.48,-0.26,Neutro
MJJ,2003,27.42,-0.16,Neutro
JJA,2003,27.35,0.08,Neutro
JAS,2003,27.2,0.21,Neutro
ASO,2003,27.08,0.26,Neutro
SON,2003,27.05,0.29,Neutro
OND,2003,27.07,0.35,Neutro
NDJ,2003,26.97,0.35,Neutro
DJF,2004,26.95,0.37,Neutro
JFM,2004,27.08,0.31,Neutro
FMA,2004,27.43,0.23,Neutro
MAM,2004,27.76,0.17,Neutro
AMJ,2004,27.91,0.17,Neutro
MJJ,2004,27.87,0.28,Neutro
JJA,2004,27.74,0.47,Neutro
JAS,2004,27.63,0.64,El Niño
ASO,2004,27.52,0.7,El Niño
SON,2004,27.44,0.67,El Niño
OND,2004,27.38,0.66,El Niño
NDJ,2004,27.3,0.69,El Niño
DJF,2005,27.22,0.64,El Niño
JFM,2005,27.36,0.58,El Niño
FMA,2005,27.65,0.45,Neutro
MAM,2005,28.02,0.43,Neutro
AMJ,2005,28.03,0.29,Neutro
MJJ,2005,27.69,0.11,Neutro
JJA,2005,27.21,-0.06,Neutro
JAS,2005,26.85,-0.14,Neutro
ASO,2005,26.71,-0.11,Neutro
SON,2005,26.48,-0.29,Neutro
OND,2005,26.15,-0.57,La Niña
NDJ,2005,25.81,-0.84,La Niña
DJF,2006,25.8,-0.85,La Niña
JFM,2006,26.1,-0.77,La Niña
FMA,2006,26.73,-0.57,La Niña
MAM,2006,27.31,-0.37,Neutro
AMJ,2006,27.69,-0.14,Neutro
MJJ,2006,27.62,-0.03,Neutro
JJA,2006,27.4,0.1,Neutro
JAS,2006,27.26,0.3,Neutro
ASO,2006,27.3,0.54,El Niño
SON,2006,27.48,0.77,El Niño
OND,2006,27.62,0.94,El Niño
NDJ,2006,27.56,0.94,El Niño
DJF,2007,27.3,0.66,El Niño
JFM,2007,27.09,0.22,Neutro
FMA,2007,27.18,-0.12,Neutro
MAM,2007,27.37,-0.32,Neutro
AMJ,2007,27.45,-0.38,Neutro
MJJ,2007,27.18,-0.47,Neutro
JJA,2007,26.74,-0.56,La Niña
JAS,2007,26.15,-0.81,La Niña
ASO,2007,25.69,-1.07,La Niña
SON,2007,25.37,-1.34,La Niña
OND,2007,25.17,-1.5,La Niña
NDJ,2007,25.02,-1.6,La Niña
DJF,2008,25.0,-1.64,La Niña
JFM,2008,25.35,-1.52,La Niña
FMA,2008,26.01,-1.29,La Niña
MAM,2008,26.67,-1.01,La Niña
AMJ,2008,26.99,-0.84,La Niña
MJJ,2008,27.04,-0.61,La Niña
JJA,2008,26.92,-0.37,Neutro
JAS,2008,26.73,-0.23,Neutro
ASO,2008,26.52,-0.24,Neutro
SON,2008,26.36,-0.35,Neutro
OND,2008,26.12,-0.55,La Niña
NDJ,2008,25.88,-0.73,La Niña
DJF,2009,25.79,-0.85,La Niña
JFM,2009,26.08,-0.79,La Niña
FMA,2009,26.68,-0.61,La Niña
MAM,2009,27.36,-0.33,Neutro
AMJ,2009,27.84,0.01,Neutro
MJJ,2009,27.94,0.28,Neutro
JJA,2009,27.75,0.45,Neutro
JAS,2009,27.53,0.58,El Niño
ASO,2009,27.47,0.71,El Niño
SON,2009,27.72,1.01,El Niño
OND,2009,28.03,1.36,El Niño
NDJ,2009,28.18,1.56,El Niño
DJF,2010,28.14,1.5,El Niño
JFM,2010,28.09,1.22,El Niño
FMA,2010,28.14,0.84,El Niño
MAM,2010,28.04,0.35,Neutro
AMJ,2010,27.66,-0.17,Neutro
MJJ,2010,27.0,-0.66,La Niña
JJA,2010,26.25,-1.05,La Niña
JAS,2010,25.61,-1.35,La Niña
ASO,2010,25.21,-1.56,La Niña
SON,2010,25.07,-1.64,La Niña
OND,2010,25.03,-1.64,La Niña
NDJ,2010,25.02,-1.54,La Niña
DJF,2011,25.22,-1.31,La Niña
JFM,2011,25.68,-1.04,La Niña
FMA,2011,26.37,-0.8,La Niña
MAM,2011,26.95,-0.62,La Niña
AMJ,2011,27.28,-0.46,Neutro
MJJ,2011,27.21,-0.37,Neutro
JJA,2011,26.81,-0.43,Neutro
JAS,2011,26.33,-0.58,La Niña
ASO,2011,25.93,-0.79,La Niña
SON,2011,25.7,-0.96,La Niña
OND,2011,25.58,-1.02,La Niña
NDJ,2011,25.58,-0.92,La Niña
DJF,2012,25.77,-0.72,La Niña
JFM,2012,26.15,-0.57,La Niña
FMA,2012,26.71,-0.46,Neutro
MAM,2012,27.21,-0.36,Neutro
AMJ,2012,27.57,-0.17,Neutro
MJJ,2012,27.64,0.06,Neutro
JJA,2012,27.54,0.3,Neutro
JAS,2012,27.32,0.41,Neutro
ASO,2012,27.13,0.41,Neutro
SON,2012,26.98,0.31,Neutro
OND,2012,26.73,0.13,Neutro
NDJ,2012,26.41,-0.1,Neutro
DJF,2013,26.21,-0.29,Neutro
JFM,2013,26.44,-0.29,Neutro
FMA,2013,26.96,-0.21,Neutro
MAM,2013,27.38,-0.19,Neutro
AMJ,2013,27.47,-0.27,Neutro
MJJ,2013,27.24,-0.34,Neutro
JJA,2013,26.89,-0.35,Neutro
JAS,2013,26.64,-0.28,Neutro
ASO,2013,26.51,-0.21,Neutro
SON,2013,26.54,-0.13,Neutro
OND,2013,26.5,-0.1,Neutro
NDJ,2013,26.35,-0.15,Neutro
DJF,2014,26.22,-0.28,Neutro
JFM,2014,26.41,-0.32,Neutro
FMA,2014,27.03,-0.14,Neutro
MAM,2014,27.73,0.15,Neutro
AMJ,2014,28.04,0.31,Neutro
MJJ,2014,27.82,0.23,Neutro
JJA,2014,27.34,0.1,Neutro
JAS,2014,27.02,0.11,Neutro
ASO,2014,27.0,0.28,Neutro
SON,2014,27.21,0.54,El Niño
OND,2014,27.31,0.71,El Niño
NDJ,2014,27.28,0.77,El Niño
DJF,2015,27.19,0.69,El Niño
JFM,2015,27.34,0.61,El Niño
FMA,2015,27.82,0.65,El Niño
MAM,2015,28.38,0.81,El Niño
AMJ,2015,28.76,1.02,El Niño
MJJ,2015,28.83,1.25,El Niño
JJA,2015,28.81,1.57,El Niño
JAS,2015,28.82,1.91,El Niño
ASO,2015,28.93,2.21,El Niño
SON,2015,29.14,2.47,El Niño
OND,2015,29.25,2.64,El Niño
NDJ,2015,29.26,2.75,El Niño
DJF,2016,29.12,2.63,El Niño
JFM,2016,29.01,2.28,El Niño
FMA,2016,28.88,1.71,El Niño
MAM,2016,28.62,1.05,El Niño
AMJ,2016,28.22,0.49,Neutro
MJJ,2016,27.59,0.0,Neutro
JJA,2016,26.93,-0.31,Neutro
JAS,2016,26.42,-0.5,La Niña
ASO,2016,26.14,-0.58,La Niña
SON,2016,26.02,-0.64,La Niña
OND,2016,26.01,-0.6,La Niña
NDJ,2016,26.06,-0.45,Neutro
DJF,2017,26.3,-0.19,Neutro
JFM,2017,26.71,-0.02,Neutro
FMA,2017,27.35,0.18,Neutro
MAM,2017,27.89,0.31,Neutro
AMJ,2017,28.13,0.4,Neutro
MJJ,2017,27.97,0.39,Neutro
JJA,2017,27.43,0.19,Neutro
JAS,2017,26.84,-0.07,Neutro
ASO,2017,26.38,-0.34,Neutro
SON,2017,26.06,-0.6,La Niña
OND,2017,25.84,-0.77,La Niña
NDJ,2017,25.64,-0.86,La Niña
DJF,2018,25.72,-0.77,La Niña
JFM,2018,26.02,-0.71,La Niña
FMA,2018,26.6,-0.57,La Niña
MAM,2018,27.18,-0.39,Neutro
AMJ,2018,27.61,-0.13,Neutro
MJJ,2018,27.64,0.06,Neutro
JJA,2018,27.38,0.14,Neutro
JAS,2018,27.18,0.27,Neutro
ASO,2018,27.25,0.53,El Niño
SON,2018,27.47,0.81,El Niño
OND,2018,27.57,0.97,El Niño
NDJ,2018,27.43,0.92,El Niño
DJF,2019,27.39,0.89,El Niño
JFM,2019,27.59,0.86,El Niño
FMA,2019,28.01,0.84,El Niño
MAM,2019,28.34,0.77,El Niño
AMJ,2019,28.37,0.64,El Niño
MJJ,2019,28.1,0.52,El Niño
JJA,2019,27.57,0.33,Neutro
JAS,2019,27.1,0.19,Neutro
ASO,2019,26.95,0.23,Neutro
SON,2019,27.06,0.39,Neutro
OND,2019,27.18,0.58,El Niño
NDJ,2019,27.17,0.66,El Niño
DJF,2020,27.14,0.64,El Niño
JFM,2020,27.35,0.63,El Niño
FMA,2020,27.7,0.53,El Niño
MAM,2020,27.87,0.3,Neutro
AMJ,2020,27.75,0.01,Neutro
MJJ,2020,27.35,-0.23,Neutro
JJA,2020,26.88,-0.36,Neutro
JAS,2020,26.38,-0.53,La Niña
ASO,2020,25.87,-0.85,La Niña
SON,2020,25.54,-1.12,La Niña
OND,2020,25.4,-1.2,La Niña
NDJ,2020,25.43,-1.08,La Niña
DJF,2021,25.59,-0.91,La Niña
JFM,2021,25.94,-0.79,La Niña
FMA,2021,26.46,-0.71,La Niña
MAM,2021,27.03,-0.55,La Niña
AMJ,2021,27.35,-0.39,Neutro
MJJ,2021,27.28,-0.3,Neutro
JJA,2021,26.89,-0.35,Neutro
JAS,2021,26.46,-0.45,Neutro
ASO,2021,26.09,-0.63,La Niña
SON,2021,25.9,-0.76,La Niña
OND,2021,25.69,-0.91,La Niña
NDJ,2021,25.63,-0.87,La Niña
DJF,2022,25.67,-0.82,La Niña
JFM,2022,25.94,-0.79,La Niña
FMA,2022,26.31,-0.86,La Niña
MAM,2022,26.62,-0.95,La Niña
AMJ,2022,26.84,-0.9,La Niña
MJJ,2022,26.8,-0.78,La Niña
JJA,2022,26.48,-0.76,La Niña
JAS,2022,26.04,-0.87,La Niña
ASO,2022,25.75,-0.97,La Niña
SON,2022,25.72,-0.94,La Niña
OND,2022,25.76,-0.85,La Niña
NDJ,2022,25.79,-0.71,La Niña
DJF,2023,25.96,-0.54,La Niña
JFM,2023,26.44,-0.29,Neutro
FMA,2023,27.15,-0.02,Neutro
MAM,2023,27.85,0.27,Neutro
AMJ,2023,28.31,0.57,El Niño
MJJ,2023,28.42,0.84,El Niño
JJA,2023,28.36,1.12,El Niño
JAS,2023,28.28,1.37,El Niño
ASO,2023,28.32,1.6,El Niño
SON,2023,28.49,1.83,El Niño
OND,2023,28.6,1.99,El Niño
NDJ,2023,28.57,2.06,El Niño
DJF,2024,28.42,1.92,El Niño
JFM,2024,28.35,1.62,El Niño
FMA,2024,28.43,1.26,El Niño
MAM,2024,28.39,0.82,El Niño
AMJ,2024,28.22,0.49,Neutro
MJJ,2024,27.8,0.22,Neutro
JJA,2024,27.33,0.08,Neutro
JAS,2024,26.85,-0.07,Neutro
ASO,2024,26.55,-0.17,Neutro
SON,2024,26.46,-0.21,Neutro
OND,2024,26.3,-0.3,Neutro
NDJ,2024,26.09,-0.42,Neutro
DJF,2025,26.05,-0.45,Neutro
JFM,2025,26.48,-0.24,Neutro
FMA,2025,27.11,-0.06,Neutro
MAM,2025,27.6,0.02,Neutro
AMJ,2025,27.72,-0.02,Neutro
MJJ,2025,27.54,-0.04,Neutro
JJA,2025,27.1,-0.14,Neutro
JAS,2025,26.63,-0.28,Neutro
ASO,2025,26.32,-0.4,Neutro
SON,2025,26.16,-0.51,La Niña
OND,2025,26.05,-0.55,La Niña
NDJ,2025,25.97,-0.54,La Niña
DJF,2026,26.13,-0.37,Neutro
JFM,2026,26.57,-0.16,Neutro
