año,mes,pdo,fase_pdo
1854,1,0.11,Neutro
1854,2,-0.24,Neutro
1854,3,-0.4,Neutro
1854,4,-0.44,Neutro
1854,5,-0.54,Negativa
1854,6,-0.3,Neutro
1854,7,-0.1,Neutro
1854,8,-1.24,Negativa
1854,9,-1.0,Negativa
1854,10,-2.23,Negativa
1854,11,-1.68,Negativa
1854,12,-1.76,Negativa
1855,1,-0.2,Neutro
1855,2,-0.39,Neutro
1855,3,-0.24,Neutro
1855,4,-0.58,Negativa
1855,5,-1.34,Negativa
1855,6,-1.88,Negativa
1855,7,-1.13,Negativa
1855,8,-0.48,Neutro
1855,9,-0.76,Negativa
1855,10,-0.63,Negativa
1855,11,-0.41,Neutro
1855,12,-0.88,Negativa
1856,1,-0.39,Neutro
1856,2,0.47,Neutro
1856,3,0.42,Neutro
1856,4,-0.96,Negativa
1856,5,-1.26,Negativa
1856,6,-2.15,Negativa
1856,7,-0.69,Negativa
1856,8,0.63,Positiva
1856,9,0.58,Positiva
1856,10,0.59,Positiva
1856,11,0.23,Neutro
1856,12,0.04,Neutro
1857,1,-0.52,Negativa
1857,2,-1.67,Negativa
1857,3,-1.05,Negativa
1857,4,-0.81,Negativa
1857,5,-0.65,Negativa
1857,6,1.03,Positiva
1857,7,1.17,Positiva
1857,8,0.81,Positiva
1857,9,0.84,Positiva
1857,10,0.7,Positiva
1857,11,0.38,Neutro
1857,12,-0.55,Negativa
1858,1,-0.96,Negativa
1858,2,-1.53,Negativa
1858,3,-1.76,Negativa
1858,4,-0.82,Negativa
1858,5,0.49,Neutro
1858,6,2.19,Positiva
1858,7,1.05,Positiva
1858,8,0.67,Positiva
1858,9,1.38,Positiva
1858,10,2.35,Positiva
1858,11,0.46,Neutro
1858,12,-1.16,Negativa
1859,1,-1.22,Negativa
1859,2,-1.71,Negativa
1859,3,-2.46,Negativa
1859,4,-3.65,Negativa
1859,5,-2.86,Negativa
1859,6,-1.99,Negativa
1859,7,-1.01,Negativa
1859,8,-1.26,Negativa
1859,9,-1.19,Negativa
1859,10,-1.31,Negativa
1859,11,-1.14,Negativa
1859,12,-1.12,Negativa
1860,1,-1.31,Negativa
1860,2,-1.28,Negativa
1860,3,-1.34,Negativa
1860,4,-0.77,Negativa
1860,5,-0.85,Negativa
1860,6,-1.26,Negativa
1860,7,-0.27,Neutro
1860,8,-0.4,Neutro
1860,9,0.33,Neutro
1860,10,-1.7,Negativa
1860,11,-1.18,Negativa
1860,12,-1.42,Negativa
1861,1,-0.57,Negativa
1861,2,-0.84,Negativa
1861,3,-0.86,Negativa
1861,4,-0.83,Negativa
1861,5,-0.37,Neutro
1861,6,-0.35,Neutro
1861,7,-0.61,Negativa
1861,8,-0.8,Negativa
1861,9,-1.2,Negativa
1861,10,-1.58,Negativa
1861,11,-1.8,Negativa
1861,12,-1.65,Negativa
1862,1,-0.41,Neutro
1862,2,-0.13,Neutro
1862,3,0.16,Neutro
1862,4,0.07,Neutro
1862,5,0.09,Neutro
1862,6,-0.08,Neutro
1862,7,-0.12,Neutro
1862,8,-0.2,Neutro
1862,9,-0.98,Negativa
1862,10,-0.8,Negativa
1862,11,-0.39,Neutro
1862,12,0.07,Neutro
1863,1,-0.06,Neutro
1863,2,-0.34,Neutro
1863,3,-0.37,Neutro
1863,4,-0.18,Neutro
1863,5,0.03,Neutro
1863,6,-0.03,Neutro
1863,7,0.07,Neutro
1863,8,-0.26,Neutro
1863,9,0.05,Neutro
1863,10,0.07,Neutro
1863,11,0.11,Neutro
1863,12,-0.23,Neutro
1864,1,-0.19,Neutro
1864,2,-0.09,Neutro
1864,3,-1.04,Negativa
1864,4,-1.0,Negativa
1864,5,-0.78,Negativa
1864,6,-0.66,Negativa
1864,7,-0.19,Neutro
1864,8,-0.48,Neutro
1864,9,-0.21,Neutro
1864,10,0.23,Neutro
1864,11,0.53,Positiva
1864,12,0.5,Neutro
1865,1,-0.28,Neutro
1865,2,-0.54,Negativa
1865,3,-0.48,Neutro
1865,4,-0.16,Neutro
1865,5,-0.15,Neutro
1865,6,-0.66,Negativa
1865,7,-0.96,Negativa
1865,8,-0.69,Negativa
1865,9,-0.73,Negativa
1865,10,-0.61,Negativa
1865,11,-0.62,Negativa
1865,12,-0.76,Negativa
1866,1,-2.31,Negativa
1866,2,-2.27,Negativa
1866,3,-2.22,Negativa
1866,4,-1.16,Negativa
1866,5,-0.68,Negativa
1866,6,-0.84,Negativa
1866,7,-0.55,Negativa
1866,8,-0.4,Neutro
1866,9,-0.35,Neutro
1866,10,-0.17,Neutro
1866,11,-0.07,Neutro
1866,12,-0.29,Neutro
1867,1,-0.14,Neutro
1867,2,-0.29,Neutro
1867,3,-0.48,Neutro
1867,4,-0.43,Neutro
1867,5,-0.34,Neutro
1867,6,-0.14,Neutro
1867,7,0.16,Neutro
1867,8,-0.34,Neutro
1867,9,-0.29,Neutro
1867,10,-0.89,Negativa
1867,11,-0.28,Neutro
1867,12,0.76,Positiva
1868,1,0.98,Positiva
1868,2,0.26,Neutro
1868,3,0.03,Neutro
1868,4,-0.39,Neutro
1868,5,-0.43,Neutro
1868,6,-0.22,Neutro
1868,7,0.11,Neutro
1868,8,-0.02,Neutro
1868,9,0.09,Neutro
1868,10,-0.2,Neutro
1868,11,-0.63,Negativa
1868,12,-0.81,Negativa
1869,1,-0.84,Negativa
1869,2,-0.16,Neutro
1869,3,0.33,Neutro
1869,4,1.23,Positiva
1869,5,3.56,Positiva
1869,6,3.84,Positiva
1869,7,3.78,Positiva
1869,8,1.2,Positiva
1869,9,-0.12,Neutro
1869,10,-0.4,Neutro
1869,11,-0.63,Negativa
1869,12,-0.46,Neutro
1870,1,0.23,Neutro
1870,2,-0.19,Neutro
1870,3,0.03,Neutro
1870,4,-0.3,Neutro
1870,5,-0.14,Neutro
1870,6,-0.37,Neutro
1870,7,-0.13,Neutro
1870,8,0.05,Neutro
1870,9,-0.49,Neutro
1870,10,-0.7,Negativa
1870,11,-0.88,Negativa
1870,12,-0.94,Negativa
1871,1,-0.44,Neutro
1871,2,0.0,Neutro
1871,3,-0.18,Neutro
1871,4,-0.51,Negativa
1871,5,-0.93,Negativa
1871,6,-0.36,Neutro
1871,7,-0.38,Neutro
1871,8,-0.09,Neutro
1871,9,-0.58,Negativa
1871,10,-0.8,Negativa
1871,11,-0.9,Negativa
1871,12,-0.29,Neutro
1872,1,-0.39,Neutro
1872,2,-0.55,Negativa
1872,3,-0.2,Neutro
1872,4,-0.49,Neutro
1872,5,-0.03,Neutro
1872,6,-0.82,Negativa
1872,7,-0.95,Negativa
1872,8,-1.02,Negativa
1872,9,-0.51,Negativa
1872,10,-0.11,Neutro
1872,11,-1.74,Negativa
1872,12,-2.1,Negativa
1873,1,-2.06,Negativa
1873,2,-2.11,Negativa
1873,3,-1.67,Negativa
1873,4,-0.69,Negativa
1873,5,-0.49,Neutro
1873,6,-0.8,Negativa
1873,7,-1.14,Negativa
1873,8,-1.05,Negativa
1873,9,-0.87,Negativa
1873,10,-0.7,Negativa
1873,11,-1.06,Negativa
1873,12,-0.86,Negativa
1874,1,-0.74,Negativa
1874,2,-1.18,Negativa
1874,3,-0.24,Neutro
1874,4,0.16,Neutro
1874,5,0.01,Neutro
1874,6,-0.26,Neutro
1874,7,-0.21,Neutro
1874,8,0.31,Neutro
1874,9,0.15,Neutro
1874,10,-0.04,Neutro
1874,11,-0.0,Neutro
1874,12,-1.13,Negativa
1875,1,-1.42,Negativa
1875,2,-1.53,Negativa
1875,3,-1.18,Negativa
1875,4,-1.24,Negativa
1875,5,-0.65,Negativa
1875,6,-0.79,Negativa
1875,7,-0.64,Negativa
1875,8,-0.8,Negativa
1875,9,-0.64,Negativa
1875,10,-1.19,Negativa
1875,11,-0.9,Negativa
1875,12,0.11,Neutro
1876,1,-0.96,Negativa
1876,2,-0.74,Negativa
1876,3,-0.91,Negativa
1876,4,-1.53,Negativa
1876,5,-1.57,Negativa
1876,6,-0.82,Negativa
1876,7,-2.21,Negativa
1876,8,-2.16,Negativa
1876,9,-1.48,Negativa
1876,10,-0.4,Neutro
1876,11,-0.04,Neutro
1876,12,-0.24,Neutro
1877,1,-0.13,Neutro
1877,2,-0.08,Neutro
1877,3,-0.08,Neutro
1877,4,-0.68,Negativa
1877,5,-0.82,Negativa
1877,6,-1.18,Negativa
1877,7,-0.37,Neutro
1877,8,-0.62,Negativa
1877,9,-0.24,Neutro
1877,10,0.02,Neutro
1877,11,0.46,Neutro
1877,12,0.07,Neutro
1878,1,0.18,Neutro
1878,2,0.85,Positiva
1878,3,0.96,Positiva
1878,4,1.49,Positiva
1878,5,1.48,Positiva
1878,6,0.9,Positiva
1878,7,0.46,Neutro
1878,8,-0.63,Negativa
1878,9,-1.97,Negativa
1878,10,-1.68,Negativa
1878,11,-0.51,Negativa
1878,12,1.31,Positiva
1879,1,0.2,Neutro
1879,2,0.13,Neutro
1879,3,0.23,Neutro
1879,4,0.61,Positiva
1879,5,-0.56,Negativa
1879,6,-0.91,Negativa
1879,7,-1.6,Negativa
1879,8,-0.62,Negativa
1879,9,-0.52,Negativa
1879,10,-0.75,Negativa
1879,11,-0.64,Negativa
1879,12,-0.2,Neutro
1880,1,0.44,Neutro
1880,2,-0.45,Neutro
1880,3,-1.51,Negativa
1880,4,-2.42,Negativa
1880,5,-2.97,Negativa
1880,6,-3.15,Negativa
1880,7,-2.27,Negativa
1880,8,-1.79,Negativa
1880,9,-1.77,Negativa
1880,10,0.02,Neutro
1880,11,-0.4,Neutro
1880,12,-0.06,Neutro
1881,1,-0.48,Neutro
1881,2,-0.15,Neutro
1881,3,-0.02,Neutro
1881,4,0.17,Neutro
1881,5,0.5,Neutro
1881,6,0.24,Neutro
1881,7,-1.3,Negativa
1881,8,-2.31,Negativa
1881,9,0.16,Neutro
1881,10,0.34,Neutro
1881,11,0.2,Neutro
1881,12,-0.55,Negativa
1882,1,-2.06,Negativa
1882,2,-1.92,Negativa
1882,3,-1.79,Negativa
1882,4,-1.6,Negativa
1882,5,-1.51,Negativa
1882,6,-1.71,Negativa
1882,7,-3.18,Negativa
1882,8,-1.1,Negativa
1882,9,-0.81,Negativa
1882,10,-1.07,Negativa
1882,11,-0.34,Neutro
1882,12,0.66,Positiva
1883,1,-0.97,Negativa
1883,2,-1.32,Negativa
1883,3,-1.4,Negativa
1883,4,-0.32,Neutro
1883,5,-0.67,Negativa
1883,6,-1.25,Negativa
1883,7,-2.82,Negativa
1883,8,-2.36,Negativa
1883,9,-1.75,Negativa
1883,10,-1.47,Negativa
1883,11,-1.07,Negativa
1883,12,-1.67,Negativa
1884,1,-1.77,Negativa
1884,2,-1.95,Negativa
1884,3,-1.42,Negativa
1884,4,-0.53,Negativa
1884,5,0.41,Neutro
1884,6,0.84,Positiva
1884,7,1.1,Positiva
1884,8,1.0,Positiva
1884,9,0.74,Positiva
1884,10,1.08,Positiva
1884,11,2.16,Positiva
1884,12,2.35,Positiva
1885,1,2.57,Positiva
1885,2,1.02,Positiva
1885,3,1.72,Positiva
1885,4,1.47,Positiva
1885,5,0.7,Positiva
1885,6,-0.41,Neutro
1885,7,-0.68,Negativa
1885,8,-0.06,Neutro
1885,9,-0.15,Neutro
1885,10,-0.05,Neutro
1885,11,-0.32,Neutro
1885,12,-0.34,Neutro
1886,1,-0.52,Negativa
1886,2,0.62,Positiva
1886,3,-0.48,Neutro
1886,4,0.35,Neutro
1886,5,-0.2,Neutro
1886,6,-1.17,Negativa
1886,7,-0.3,Neutro
1886,8,-0.39,Neutro
1886,9,-0.44,Neutro
1886,10,-1.3,Negativa
1886,11,-2.63,Negativa
1886,12,-1.79,Negativa
1887,1,-0.93,Negativa
1887,2,-1.41,Negativa
1887,3,-2.04,Negativa
1887,4,-1.49,Negativa
1887,5,-0.33,Neutro
1887,6,0.69,Positiva
1887,7,1.54,Positiva
1887,8,-0.87,Negativa
1887,9,-1.96,Negativa
1887,10,-1.33,Negativa
1887,11,-0.97,Negativa
1887,12,-1.07,Negativa
1888,1,-0.98,Negativa
1888,2,-0.11,Neutro
1888,3,0.1,Neutro
1888,4,0.02,Neutro
1888,5,1.48,Positiva
1888,6,1.68,Positiva
1888,7,1.78,Positiva
1888,8,1.13,Positiva
1888,9,1.04,Positiva
1888,10,0.6,Positiva
1888,11,0.76,Positiva
1888,12,0.47,Neutro
1889,1,0.44,Neutro
1889,2,-0.01,Neutro
1889,3,0.14,Neutro
1889,4,0.88,Positiva
1889,5,1.16,Positiva
1889,6,1.12,Positiva
1889,7,0.13,Neutro
1889,8,-1.02,Negativa
1889,9,-1.27,Negativa
1889,10,-0.42,Neutro
1889,11,1.34,Positiva
1889,12,-0.16,Neutro
1890,1,-0.66,Negativa
1890,2,-1.09,Negativa
1890,3,-1.49,Negativa
1890,4,-1.1,Negativa
1890,5,-1.34,Negativa
1890,6,-3.41,Negativa
1890,7,-1.4,Negativa
1890,8,-0.99,Negativa
1890,9,0.83,Positiva
1890,10,-0.45,Neutro
1890,11,-1.04,Negativa
1890,12,-1.31,Negativa
1891,1,-0.52,Negativa
1891,2,-0.8,Negativa
1891,3,-1.02,Negativa
1891,4,-0.48,Neutro
1891,5,0.87,Positiva
1891,6,1.01,Positiva
1891,7,1.13,Positiva
1891,8,0.64,Positiva
1891,9,0.3,Neutro
1891,10,0.89,Positiva
1891,11,0.03,Neutro
1891,12,-0.18,Neutro
1892,1,-1.15,Negativa
1892,2,-1.42,Negativa
1892,3,-0.96,Negativa
1892,4,-1.32,Negativa
1892,5,-2.76,Negativa
1892,6,-1.94,Negativa
1892,7,-1.65,Negativa
1892,8,-2.85,Negativa
1892,9,-2.46,Negativa
1892,10,-2.82,Negativa
1892,11,-2.36,Negativa
1892,12,-1.13,Negativa
1893,1,-0.51,Negativa
1893,2,-0.67,Negativa
1893,3,-0.93,Negativa
1893,4,-1.6,Negativa
1893,5,-2.45,Negativa
1893,6,-2.13,Negativa
1893,7,-2.14,Negativa
1893,8,-0.41,Neutro
1893,9,0.06,Neutro
1893,10,-0.54,Negativa
1893,11,-0.71,Negativa
1893,12,-1.49,Negativa
1894,1,-1.42,Negativa
1894,2,-2.17,Negativa
1894,3,-3.2,Negativa
1894,4,-3.15,Negativa
1894,5,-3.35,Negativa
1894,6,-2.75,Negativa
1894,7,-2.98,Negativa
1894,8,-1.91,Negativa
1894,9,-2.02,Negativa
1894,10,-2.56,Negativa
1894,11,-2.77,Negativa
1894,12,-1.17,Negativa
1895,1,-0.86,Negativa
1895,2,-0.64,Negativa
1895,3,-0.65,Negativa
1895,4,-1.13,Negativa
1895,5,-0.48,Neutro
1895,6,-0.74,Negativa
1895,7,0.43,Neutro
1895,8,-0.16,Neutro
1895,9,-1.34,Negativa
1895,10,-0.84,Negativa
1895,11,-1.23,Negativa
1895,12,-0.27,Neutro
1896,1,0.32,Neutro
1896,2,0.2,Neutro
1896,3,-0.17,Neutro
1896,4,-0.91,Negativa
1896,5,-1.32,Negativa
1896,6,-0.68,Negativa
1896,7,-0.32,Neutro
1896,8,-0.18,Neutro
1896,9,0.99,Positiva
1896,10,0.26,Neutro
1896,11,0.29,Neutro
1896,12,0.21,Neutro
1897,1,0.38,Neutro
1897,2,-0.29,Neutro
1897,3,-0.62,Negativa
1897,4,-0.06,Neutro
1897,5,0.67,Positiva
1897,6,0.8,Positiva
1897,7,0.57,Positiva
1897,8,-0.0,Neutro
1897,9,-0.7,Negativa
1897,10,0.31,Neutro
1897,11,0.58,Positiva
1897,12,0.05,Neutro
1898,1,-0.08,Neutro
1898,2,-0.27,Neutro
1898,3,-0.42,Neutro
1898,4,0.21,Neutro
1898,5,-0.39,Neutro
1898,6,0.29,Neutro
1898,7,-0.36,Neutro
1898,8,0.43,Neutro
1898,9,0.29,Neutro
1898,10,0.27,Neutro
1898,11,0.55,Positiva
1898,12,0.6,Positiva
1899,1,0.08,Neutro
1899,2,-1.27,Negativa
1899,3,-0.75,Negativa
1899,4,-0.51,Negativa
1899,5,-1.07,Negativa
1899,6,-1.48,Negativa
1899,7,-0.14,Neutro
1899,8,0.32,Neutro
1899,9,0.35,Neutro
1899,10,-0.37,Neutro
1899,11,0.3,Neutro
1899,12,0.32,Neutro
1900,1,0.81,Positiva
1900,2,0.2,Neutro
1900,3,0.61,Positiva
1900,4,1.85,Positiva
1900,5,1.49,Positiva
1900,6,1.23,Positiva
1900,7,1.07,Positiva
1900,8,1.15,Positiva
1900,9,-0.4,Neutro
1900,10,0.08,Neutro
1900,11,0.57,Positiva
1900,12,1.02,Positiva
1901,1,1.13,Positiva
1901,2,0.65,Positiva
1901,3,-0.33,Neutro
1901,4,-0.45,Neutro
1901,5,-0.99,Negativa
1901,6,-0.84,Negativa
1901,7,-1.33,Negativa
1901,8,-0.73,Negativa
1901,9,-0.07,Neutro
1901,10,0.25,Neutro
1901,11,-0.08,Neutro
1901,12,0.56,Positiva
1902,1,1.37,Positiva
1902,2,0.53,Positiva
1902,3,0.4,Neutro
1902,4,0.64,Positiva
1902,5,1.36,Positiva
1902,6,2.33,Positiva
1902,7,3.04,Positiva
1902,8,1.81,Positiva
1902,9,0.89,Positiva
1902,10,1.11,Positiva
1902,11,0.74,Positiva
1902,12,0.44,Neutro
1903,1,-0.04,Neutro
1903,2,0.1,Neutro
1903,3,-0.19,Neutro
1903,4,-1.08,Negativa
1903,5,-0.37,Neutro
1903,6,0.04,Neutro
1903,7,1.49,Positiva
1903,8,1.35,Positiva
1903,9,0.54,Positiva
1903,10,0.72,Positiva
1903,11,0.22,Neutro
1903,12,0.6,Positiva
1904,1,1.41,Positiva
1904,2,0.54,Positiva
1904,3,0.72,Positiva
1904,4,0.07,Neutro
1904,5,0.47,Neutro
1904,6,-0.07,Neutro
1904,7,0.05,Neutro
1904,8,1.64,Positiva
1904,9,2.24,Positiva
1904,10,1.8,Positiva
1904,11,1.93,Positiva
1904,12,3.12,Positiva
1905,1,2.75,Positiva
1905,2,1.71,Positiva
1905,3,1.04,Positiva
1905,4,2.05,Positiva
1905,5,1.31,Positiva
1905,6,1.56,Positiva
1905,7,2.31,Positiva
1905,8,2.41,Positiva
1905,9,2.1,Positiva
1905,10,-0.41,Neutro
1905,11,0.74,Positiva
1905,12,-0.98,Negativa
1906,1,1.36,Positiva
1906,2,1.26,Positiva
1906,3,0.5,Neutro
1906,4,0.43,Neutro
1906,5,1.45,Positiva
1906,6,0.93,Positiva
1906,7,1.35,Positiva
1906,8,0.94,Positiva
1906,9,0.11,Neutro
1906,10,0.94,Positiva
1906,11,0.89,Positiva
1906,12,-0.43,Neutro
1907,1,-0.68,Negativa
1907,2,-0.36,Neutro
1907,3,-1.88,Negativa
1907,4,-1.58,Negativa
1907,5,0.23,Neutro
1907,6,0.96,Positiva
1907,7,0.59,Positiva
1907,8,-0.31,Neutro
1907,9,0.78,Positiva
1907,10,1.84,Positiva
1907,11,1.77,Positiva
1907,12,1.94,Positiva
1908,1,1.72,Positiva
1908,2,1.67,Positiva
1908,3,0.51,Positiva
1908,4,-0.08,Neutro
1908,5,0.16,Neutro
1908,6,0.21,Neutro
1908,7,0.42,Neutro
1908,8,-0.72,Negativa
1908,9,0.71,Positiva
1908,10,0.94,Positiva
1908,11,1.88,Positiva
1908,12,1.34,Positiva
1909,1,0.69,Positiva
1909,2,0.86,Positiva
1909,3,0.93,Positiva
1909,4,0.28,Neutro
1909,5,-0.17,Neutro
1909,6,-0.65,Negativa
1909,7,-1.39,Negativa
1909,8,-2.3,Negativa
1909,9,-1.97,Negativa
1909,10,-1.25,Negativa
1909,11,-1.36,Negativa
1909,12,-2.21,Negativa
1910,1,-1.71,Negativa
1910,2,-1.23,Negativa
1910,3,-0.9,Negativa
1910,4,-1.97,Negativa
1910,5,-2.33,Negativa
1910,6,-0.35,Neutro
1910,7,-0.08,Neutro
1910,8,-0.73,Negativa
1910,9,0.73,Positiva
1910,10,-0.96,Negativa
1910,11,-0.59,Negativa
1910,12,0.39,Neutro
1911,1,-0.3,Neutro
1911,2,-1.21,Negativa
1911,3,-1.26,Negativa
1911,4,-0.56,Negativa
1911,5,-0.71,Negativa
1911,6,-1.51,Negativa
1911,7,-0.38,Neutro
1911,8,0.08,Neutro
1911,9,-0.26,Neutro
